taxonomy,layer,accuracy,macro_f1,mcc,imbalance_entropy,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1,control_macro_f1,control_mcc,normalized_mcc,normalized_macro_f1,Admiration_f1,Amusement_f1,Annoyance_f1,Approval_f1,Caring_f1,Confusion_f1,Curiosity_f1,Desire_f1,Disappointment_f1,Disapproval_f1,Embarrassment_f1,Excitement_f1,Gratitude_f1,Grief_f1,Joy_f1,Love_f1,Nervousness_f1,Nostalgia_f1,Optimism_f1,Pride_f1,Realization_f1,Relief_f1,Remorse_f1,Anticipation_f1,Trust_f1
ekman_basic_emotions,0,0.524345429490124,0.32897620894056734,0.34335802626504996,0.6951443955909257,0.21032504780114722,0.14432989690721648,0.6835443037974683,0.21415607985480944,0.32948583420776495,0.5713324360699865,0.14965986394557823,0.12660683415732965,0.0044390191169033635,0.34043018323951774,0.23170478393655272,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,1,0.545016077170418,0.3470456501628466,0.3570847961330171,0.6951443955909257,0.22134387351778656,0.1791044776119403,0.6920597714620569,0.2467289719626168,0.34151785714285715,0.5826257348138472,0.16593886462882096,0.131004734289853,-0.0011142014574700516,0.3578003359347054,0.24861000329667388,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,2,0.5385852090032154,0.339011065284809,0.3436469353475488,0.6951443955909257,0.19327731092436976,0.17721518987341772,0.684963503649635,0.22745098039215686,0.3367003367003367,0.5740979381443299,0.17937219730941703,0.13928554497608311,0.00614871819872229,0.33958623722569176,0.2320462020161798,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,3,0.5452457510335323,0.3491830199941058,0.3482532542824564,0.6951443955909257,0.21505376344086022,0.16216216216216217,0.6790266512166859,0.22626262626262628,0.3532110091743119,0.5810767760433259,0.22748815165876776,0.13112570556636466,-0.0034489072529577127,0.3504933425043375,0.2509653189474077,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,4,0.5771704180064309,0.3667560946683312,0.3896983604844435,0.6951443955909257,0.2505694760820046,0.16901408450704225,0.7081422018348624,0.2627118644067797,0.37697516930022573,0.6143128562381254,0.18556701030927836,0.13181169531084794,-0.009874339875120918,0.3956657621471745,0.2706145637859096,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,5,0.594855305466238,0.3793994694724462,0.41338988476505745,0.6951443955909257,0.2636363636363636,0.15384615384615385,0.7257601835915088,0.2826086956521739,0.3724137931034483,0.6353088742552524,0.2222222222222222,0.13341814528308651,-0.00553636476258668,0.4166196909512618,0.28385238261158197,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,6,0.6038125861276986,0.3803916398999262,0.42300494520767096,0.6951443955909257,0.2692307692307692,0.1791044776119403,0.7400906002265005,0.24892703862660945,0.34772182254196643,0.6476667710616975,0.23,0.13671406652114207,0.0033972354089476394,0.42103807525649983,0.28226751291639324,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,7,0.6288470372071658,0.41352205484145743,0.4619706667391196,0.6951443955909257,0.2947845804988662,0.22535211267605634,0.7617142857142857,0.3053097345132743,0.4014251781472684,0.6702194357366771,0.2358490566037736,0.1348470880144859,-0.004294210170704678,0.46427119880594653,0.32211064999760136,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,8,0.6451538814882867,0.41409828034138635,0.4823593294727452,0.6951443955909257,0.27684964200477324,0.18181818181818182,0.7701441899915182,0.33043478260869563,0.4081145584725537,0.6960324898469228,0.23529411764705882,0.13676093209278936,-0.00030087229103643143,0.48251502636234045,0.3212752510390412,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,9,0.6488286632981167,0.41550755125199607,0.48740798151098524,0.6951443955909257,0.35764705882352943,0.16,0.7737556561085973,0.31910112359550563,0.40682095006090135,0.6963562753036437,0.19487179487179487,0.13645109265327404,0.0043363809091609045,0.4851755064053932,0.3231507286091409,,,,,,,,,,,,,,,,,,,,,,,,,
