taxonomy,layer,accuracy,macro_f1,mcc,imbalance_entropy,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1,control_macro_f1,control_mcc,normalized_mcc,normalized_macro_f1,Admiration_f1,Amusement_f1,Annoyance_f1,Approval_f1,Caring_f1,Confusion_f1,Curiosity_f1,Desire_f1,Disappointment_f1,Disapproval_f1,Embarrassment_f1,Excitement_f1,Gratitude_f1,Grief_f1,Joy_f1,Love_f1,Nervousness_f1,Nostalgia_f1,Optimism_f1,Pride_f1,Realization_f1,Relief_f1,Remorse_f1,Anticipation_f1,Trust_f1
ekman_basic_emotions,0,0.4844494892167991,0.29210824631387194,0.31101503427623584,0.7485548241256249,0.18491484184914841,0.03125,0.5715381664748753,0.2596026490066225,0.4052511415525114,0.5922009253139459,0.0,0.1353085493715363,-0.0001696313742239829,0.311131887920747,0.18133600931103522,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,1,0.49716231555051077,0.31160629810160073,0.32460544440697564,0.7485548241256249,0.18666666666666668,0.07407407407407407,0.5794753086419753,0.27671232876712326,0.41097424412094063,0.6049543676662321,0.04838709677419355,0.1321022808166951,-0.006123348910890424,0.3287159508581863,0.20682623460955699,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,2,0.4935300794551646,0.31446528587966,0.31755570564370666,0.7485548241256249,0.2,0.10071942446043165,0.5746500777604977,0.25348189415041783,0.39932697700504766,0.6041131105398457,0.06896551724137931,0.14261746805467465,0.008160383276162355,0.31194087950379845,0.200433075578386,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,3,0.49307604994324633,0.3027432676634589,0.3140103263875522,0.7485548241256249,0.1791907514450867,0.08130081300813008,0.5746864310148233,0.26536312849162014,0.40795454545454546,0.593900481540931,0.01680672268907563,0.1404223216955031,0.001285833516030628,0.31312712222005035,0.18883801902363406,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,4,0.49943246311010214,0.31693354999261797,0.3207100040081385,0.7485548241256249,0.17313432835820897,0.12389380530973451,0.5824587706146926,0.26628895184135976,0.4002267573696145,0.6017357762777242,0.07079646017699115,0.1412577094953346,0.004839706621732936,0.31740645149146957,0.20457341211650618,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,5,0.5032917139614075,0.3192271063914026,0.3251853714736529,0.7485548241256249,0.19879518072289157,0.08620689655172414,0.5826415094339623,0.2857142857142857,0.39029892836999436,0.6121927864666454,0.07874015748031496,0.14017415986321993,0.001218026393671403,0.3243624270772769,0.2082432722651126,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,6,0.5144154370034052,0.3345091558608732,0.3410148510420575,0.7485548241256249,0.22356495468277945,0.128,0.581998474446987,0.2710413694721826,0.42318514350028136,0.6252785737026425,0.08849557522123894,0.1340430707085754,-0.005823330869025349,0.3448301220169716,0.2314966003174437,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,7,0.5296254256526675,0.33355747826327475,0.36048094063785774,0.7485548241256249,0.2476780185758514,0.05263157894736842,0.6106060606060606,0.2849162011173184,0.43329532497149376,0.6330478908975579,0.07272727272727272,0.13620409799476949,-0.0013776561039405765,0.3613607658769633,0.22847223494620172,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,8,0.5343927355278093,0.3372453329669973,0.36978144828294485,0.7485548241256249,0.21021021021021022,0.09375,0.6146788990825688,0.2916666666666667,0.4371087080250427,0.648786717752235,0.06451612903225806,0.13762079137410904,-0.00531339627667959,0.3731123507841846,0.23148116234268754,,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,9,0.532122587968218,0.3441343403241831,0.3669600642985545,0.7485548241256249,0.22674418604651161,0.11851851851851852,0.6172839506172839,0.28370786516853935,0.42365097588978184,0.647431832593532,0.0916030534351145,0.14324452087061054,0.0036688168969066623,0.36462900445429197,0.23447742599523388,,,,,,,,,,,,,,,,,,,,,,,,,
