layer,taxonomy,mean_corr,std_corr,shuffle_corr,lexical_partial,complex_partial,noise_ceiling
0,ekman_basic_emotions,0.0,0.0,0.0,0.0,,0.0
0,plutchik_wheel,0.0,0.0,0.0,0.0,,0.0
0,go_emotions,0.0,0.0,0.0,0.0,0.0,0.0
1,ekman_basic_emotions,0.00509710514176699,0.014304624766232114,-0.0036644355994540695,0.005416282072554521,,0.9981517378252596
1,plutchik_wheel,0.009296851210861724,0.021533824400804584,0.002882956253193899,0.00844714302937035,,0.9981517378252596
1,go_emotions,0.001979718730773279,0.019872796250709337,0.0019014988116338757,0.0035586329100294805,0.0028250430165905234,0.9981517378252596
2,ekman_basic_emotions,0.007236306125814661,0.01329066442657703,-0.0019909503455267574,0.008373964575495899,,0.9566271919673526
2,plutchik_wheel,0.0005969598403270456,0.020787296945022144,-0.0014243344125168312,-0.00014418534836658698,,0.9566271919673526
2,go_emotions,0.011529650441343443,0.01640370658248477,0.0009566245688772878,0.011370155367716173,0.00913209583598243,0.9566271919673526
3,ekman_basic_emotions,-0.01571967833472622,0.011691058441388815,0.0006475372895445358,-0.014442985493638252,,0.9910776628114653
3,plutchik_wheel,-0.013094666181162874,0.020187684898348268,-0.0005918607769917664,-0.012809900263950158,,0.9910776628114653
3,go_emotions,0.0012829886112752655,0.016951114061219005,0.0017553727349790662,0.0021299724095543413,0.002164369367621199,0.9910776628114653
4,ekman_basic_emotions,0.014543514727758267,0.012591186796236402,0.0006294591347323354,0.01632170849181038,,0.9908596980045093
4,plutchik_wheel,0.009138250124785901,0.021689412272921788,0.0011489096335598383,0.008721241001572323,,0.9908596980045093
4,go_emotions,0.0063613253426999675,0.017079868664562996,0.005358680754535688,0.009111033759305982,0.007286879597555317,0.9908596980045093
5,ekman_basic_emotions,-0.00562809828047584,0.011083792812869139,0.0007727587045065393,-0.002053258932307437,,0.9983762154711077
5,plutchik_wheel,0.006062608465358476,0.01869356885943888,0.005611608293882441,0.005922801704703823,,0.9983762154711077
5,go_emotions,0.013892503413264765,0.01856899035963633,0.003151136725375055,0.01719093024710748,0.011855829035813913,0.9983762154711077
