layer,taxonomy,mean_corr,std_corr,shuffle_corr,lexical_partial,complex_partial,noise_ceiling
0,ekman_basic_emotions,0.0,0.0,0.0,0.0,,0.0
0,plutchik_wheel,0.0,0.0,0.0,0.0,,0.0
0,go_emotions,0.0,0.0,0.0,0.0,0.0,0.0
1,ekman_basic_emotions,-0.009448610814896822,0.01644401082759202,-0.002544489734765604,-0.006689305110668873,,0.8316759487915266
1,plutchik_wheel,0.0077474776035513435,0.013947623096059751,0.002070298807166342,0.009185215726460215,,0.8316759487915266
1,go_emotions,0.010770926438406292,0.012878664879546524,0.0005400949061931666,0.01553188930835394,0.016822899851200147,0.8316759487915266
2,ekman_basic_emotions,-0.004351930514756127,0.016263671567336213,-0.0008642104562903729,-0.0026538120945113607,,0.9321496699802574
2,plutchik_wheel,0.014697534736115197,0.01805057254529606,-0.0010863551132148045,0.01469306928476876,,0.9321496699802574
2,go_emotions,0.020158340631683393,0.009460352379722226,0.00046324910824284193,0.02123039918503189,0.022010362866231876,0.9321496699802574
3,ekman_basic_emotions,-0.009256054590314889,0.014195721337647689,-0.0001812617348640303,-0.009650527142979128,,0.9793044507387085
3,plutchik_wheel,0.009550783125376354,0.017538402136566517,0.00044383605425921444,0.00834302435658076,,0.9793044507387085
3,go_emotions,0.021612576814650543,0.012764553300649652,0.0008067286467484867,0.01953292706888898,0.026783576277582287,0.9793044507387085
4,ekman_basic_emotions,-0.00971413851675498,0.01734323503854118,0.0005274735192975738,-0.007621258072650869,,0.9958904497863799
4,plutchik_wheel,0.004322014982286348,0.014821827703204617,0.0018602737140649159,0.004700098748602587,,0.9958904497863799
4,go_emotions,0.031003674801986056,0.011082402561538673,-0.0009714364067623829,0.030107994383683594,0.03195409555558874,0.9958904497863799
5,ekman_basic_emotions,-0.009571740158414239,0.018951799719530902,-0.001244182048774891,-0.009108859470613979,,0.9986834596998543
5,plutchik_wheel,0.01096245074540465,0.01647893270655591,-0.0038993898456542884,0.010224396676147171,,0.9986834596998543
5,go_emotions,0.032459387754383714,0.013351228395401515,-0.00167274025910255,0.02882847682945526,0.03264118997230849,0.9986834596998543
