taxonomy,layer,accuracy,macro_f1,mcc,imbalance_entropy,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1,control_macro_f1,control_mcc,normalized_mcc,normalized_macro_f1,Admiration_f1,Amusement_f1,Annoyance_f1,Approval_f1,Caring_f1,Confusion_f1,Curiosity_f1,Desire_f1,Disappointment_f1,Disapproval_f1,Excitement_f1,Gratitude_f1,Grief_f1,Joy_f1,Nervousness_f1,Optimism_f1,Pride_f1,Realization_f1,Relief_f1,Remorse_f1,Anticipation_f1,Trust_f1
ekman_basic_emotions,0,0.0007060484819957637,0.00020158580835909153,0.0,0.42758371073449114,0.0014111006585136407,0.0,0.0,0.0,0.0,0.0,0.0,0.00015676789605833993,0.0,0.0,4.482493941219419e-05,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,1,0.6097905389503413,0.21682720801470215,0.2870406545988537,0.42758371073449114,0.0,0.0,0.5602129075182968,0.07894736842105263,0.6983023113111065,0.18032786885245902,0.0,0.13910456299751706,0.007475031812118084,0.28167112339466577,0.09028116734803988,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,2,0.5215344787008708,0.194581851590033,0.23766357602595511,0.42758371073449114,0.0,0.0,0.5173524150268336,0.05436893203883495,0.6365054602184087,0.15384615384615385,0.0,0.11879412956560675,-0.003664080340443763,0.2404466405578053,0.08600455871573624,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,3,0.5631913391386209,0.20729412317161164,0.27510600642160893,0.42758371073449114,0.0,0.0,0.5560975609756098,0.06263982102908278,0.665654813529922,0.16666666666666666,0.0,0.12327482843679353,-0.008147707197449651,0.2809644971632934,0.09583310421555613,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,4,0.5883737349964697,0.2131628213490504,0.28484066470802233,0.42758371073449114,0.0,0.0,0.5584064821066846,0.08797653958944282,0.6854003803084724,0.1603563474387528,0.0,0.12863197823524142,0.0010746668440911218,0.28407127984974423,0.09700934737381217,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,5,0.6192045187102848,0.22216133984628667,0.3181691395370226,0.42758371073449114,0.0,0.0,0.581081081081081,0.06153846153846154,0.7101568951279934,0.2023529411764706,0.0,0.13637017251732933,-0.00779794403537627,0.3234448785112391,0.09933789292459193,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,6,0.6147328783243116,0.22909117168860732,0.31183388737954854,0.42758371073449114,0.0,0.0,0.5715249662618084,0.12274368231046931,0.7059797227394993,0.2033898305084746,0.0,0.1349154727442161,-0.0021277915645073323,0.31329505237441174,0.1088630023740395,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,7,0.6297952459402212,0.22666190313846396,0.3302812867147511,0.42758371073449114,0.0,0.0,0.5839514497639919,0.10569105691056911,0.7224272242722427,0.1745635910224439,0.0,0.13931342680024994,0.01233252472937875,0.3219188339661122,0.10148697453648088,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,8,0.641327371146152,0.23758240774039616,0.3428492548514236,0.42758371073449114,0.0,0.0,0.5963636363636363,0.13023255813953488,0.7235955056179775,0.21288515406162464,0.0,0.13667594757501045,0.002868268811935011,0.34095894795606113,0.11688132617404752,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,9,0.6599199811720404,0.2432734847546199,0.3640946101968879,0.42758371073449114,0.0,0.0,0.6049300466355763,0.1485148514851485,0.7430178822583886,0.2064516129032258,0.0,0.14518850249633072,-0.0032495732381352515,0.3661543380969163,0.11474457531833579,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,10,0.6521534478700871,0.24249572867688993,0.3415778447827204,0.42758371073449114,0.0,0.0,0.5897004375631101,0.12903225806451613,0.733704292527822,0.24503311258278146,0.0,0.14550663075963055,-0.014418509510347713,0.35093637483498297,0.1135047987598559,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,11,0.656154389268063,0.24534984888613018,0.3450512830200184,0.42758371073449114,0.0,0.0,0.590284757118928,0.1744186046511628,0.7374678026550426,0.2152777777777778,0.0,0.13769803334776246,-0.002206819733689918,0.34649345416147037,0.12484236346614203,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,12,0.6540362438220758,0.23888128582927184,0.34303487370066466,0.42758371073449114,0.0,0.0,0.5876393110435664,0.14659685863874344,0.7393026941362916,0.19863013698630136,0.0,0.15556539676227696,-0.007362502654106623,0.34783642971777917,0.09866470268691727,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,13,0.6540362438220758,0.24114504626413089,0.344550720241294,0.42758371073449114,0.0,0.0,0.5897869462292864,0.11578947368421053,0.7374057913526378,0.24503311258278146,0.0,0.14593555771028455,0.000768187925498388,0.34404682493251487,0.11147810848862083,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,14,0.6658037185220052,0.24088252882402236,0.361134612186864,0.42758371073449114,0.0,0.0,0.6053073563990594,0.07865168539325842,0.7448657187993681,0.25735294117647056,0.0,0.1483325007854819,0.01172892697699531,0.35355247638795895,0.10866920262179565,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,15,0.6676865144739939,0.24334351300303675,0.36551578538992924,0.42758371073449114,0.0,0.0,0.6048550236008091,0.08536585365853659,0.7478775913129319,0.2653061224489796,0.0,0.1414391929107383,0.004187237538497497,0.36284787810740726,0.1186920242001028,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,16,0.6818074841139091,0.2513400856229116,0.3872858898661936,0.42758371073449114,0.0,0.0,0.6183310533515732,0.1125,0.7605083088954057,0.26804123711340205,0.0,0.1429986503033455,0.00043596432980552713,0.38701865186357004,0.12641921200930992,,,,,,,,,,,,,,,,,,,,,,
