taxonomy,layer,accuracy,macro_f1,mcc,imbalance_entropy,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1,control_macro_f1,control_mcc,normalized_mcc,normalized_macro_f1,Admiration_f1,Amusement_f1,Annoyance_f1,Approval_f1,Caring_f1,Confusion_f1,Curiosity_f1,Desire_f1,Disappointment_f1,Disapproval_f1,Excitement_f1,Gratitude_f1,Joy_f1,Nervousness_f1,Optimism_f1,Pride_f1,Realization_f1,Relief_f1,Remorse_f1,Anticipation_f1,Trust_f1
ekman_basic_emotions,0,0.6472248353715898,0.20799373503945148,0.3042797317062028,0.3958240442846809,0.0,0.0,0.5452554744525547,0.03508771929824561,0.7422796181920269,0.13333333333333333,0.0,0.1484202635695662,0.003961142765961574,0.301512924680684,0.0699564220722294,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,1,0.6446378174976481,0.2137193186349971,0.29666306383957824,0.3958240442846809,0.0,0.0,0.5377842993396919,0.07272727272727272,0.7398282941396044,0.1456953642384106,0.0,0.1451590870630005,-0.006741721413670902,0.3013730123623037,0.08020232833316598,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,2,0.6469896519285042,0.2048395509609122,0.29658968180383755,0.3958240442846809,0.0,0.0,0.5431918008784773,0.057692307692307696,0.7414434523809523,0.09154929577464789,0.0,0.14653062444289522,-0.0017700364586025988,0.2978325438013534,0.06831988140166792,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,3,0.6568673565380997,0.21118737500037968,0.3102199605420457,0.3958240442846809,0.0,0.0,0.5479955866127253,0.06315789473684211,0.7503698224852071,0.11678832116788321,0.0,0.13920088283234014,-0.00536767019743632,0.31390270454738833,0.08362751626058947,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,4,0.6667450611476952,0.22322883339373048,0.3229775407777607,0.3958240442846809,0.0,0.0,0.5543071161048689,0.07692307692307693,0.7577867350677904,0.17358490566037735,0.0,0.1486423178152372,-0.002203169853220495,0.32446585723591964,0.08760890650224544,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,5,0.6625117591721543,0.22032375604006602,0.3162768269858566,0.3958240442846809,0.0,0.0,0.5498692566305566,0.05217391304347826,0.7541766109785203,0.18604651162790697,0.0,0.1455795171411349,-0.0010131354119813495,0.3169688300516183,0.0874794558398684,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,6,0.6749764816556915,0.23386540516487045,0.33889981592925933,0.3958240442846809,0.0,0.0,0.5661356057799185,0.125,0.7619222303741746,0.184,0.0,0.15041473030932817,0.006758908046552267,0.33440109412858865,0.09822519037544765,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,7,0.6836782690498588,0.22877646245170263,0.3529618946263606,0.3958240442846809,0.0,0.0,0.5720653789004457,0.10416666666666667,0.7726608187134503,0.15254237288135594,0.0,0.15627283318227814,0.0030957205310998145,0.35095262534297844,0.08593255275029935,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,8,0.6865004703668862,0.23770330619093277,0.36191551125634747,0.3958240442846809,0.0,0.0,0.581670362158167,0.10638297872340426,0.7709517696680727,0.20491803278688525,0.0,0.13818488877662258,-0.0017601539266476572,0.36303666477197966,0.11547536834558429,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,9,0.6799153339604892,0.22339989765732912,0.35133201565907163,0.3958240442846809,0.0,0.0,0.5751295336787565,0.04040404040404041,0.7678735526557618,0.1803921568627451,0.0,0.1370151932368151,-0.008195908560007738,0.356605220440329,0.1000999133976865,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,10,0.6796801505174036,0.231067254627108,0.3520053600085159,0.3958240442846809,0.0,0.0,0.5750277880696554,0.05660377358490566,0.76623137759794,0.2196078431372549,0.0,0.14958962078446872,0.0023771809202426867,0.35046128897771467,0.09580978294008953,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,11,0.6799153339604892,0.2359667878789769,0.35509826106476783,0.3958240442846809,0.0,0.0,0.5765699596033786,0.09259259259259259,0.7657374930773491,0.21686746987951808,0.0,0.14858614093538752,0.003132453396896693,0.3530717885913926,0.10263005002007865,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,12,0.6761523988711194,0.2326918307174611,0.34603346627767945,0.3958240442846809,0.0,0.0,0.570898292501856,0.08080808080808081,0.763114301490889,0.2140221402214022,0.0,0.15848882131922168,0.00566719317074877,0.342306188400137,0.08817828126129724,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,13,0.6890874882408279,0.23194632925386172,0.35832674517373425,0.3958240442846809,0.0,0.0,0.5804010594021944,0.0625,0.7741116751269036,0.2066115702479339,0.0,0.14982546649185818,-0.0048508352119004975,0.3614243703236299,0.09659294594857103,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,14,0.6865004703668862,0.23188069150037555,0.35400516408132904,0.3958240442846809,0.0,0.0,0.5774436090225564,0.06521739130434782,0.7712988192552225,0.20920502092050208,0.0,0.1601362282086443,-0.0069778740480627745,0.3584815986852182,0.08542392909591351,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,15,0.6975540921919097,0.23285439419560555,0.3733726803983574,0.3958240442846809,0.0,0.0,0.5913696060037523,0.046511627906976744,0.7797101449275362,0.21238938053097345,0.0,0.14076447090618974,-0.006338723369594962,0.3773196787027511,0.10717657751715426,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,16,0.6928504233301975,0.23887317692566792,0.36650937705940795,0.3958240442846809,0.0,0.0,0.5861550037622273,0.10638297872340426,0.7761844254855691,0.2033898305084746,0.0,0.13652979004424662,-0.004837544047035395,0.36955916238044245,0.11852567199355454,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,17,0.6982596425211665,0.23915286944583256,0.38243212950043926,0.3958240442846809,0.0,0.0,0.5973733583489681,0.09900990099009901,0.7817684594348222,0.19591836734693877,0.0,0.13595979495684007,-0.009528568010155157,0.3882611249755654,0.11943087125654975,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,18,0.7119002822201317,0.25200371637589536,0.4037270847123201,0.3958240442846809,0.0,0.0,0.6080363912054587,0.125,0.7926917510853835,0.23829787234042554,0.0,0.1729164891271118,0.00912922677446519,0.3982334211486924,0.09562181594615084,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,19,0.7107243650047037,0.2504390919980365,0.4071034751026076,0.3958240442846809,0.0,0.0,0.6179227596550432,0.12962962962962962,0.7890710382513662,0.21645021645021645,0.0,0.13857450997003704,0.0044571594530847785,0.40444900937494915,0.12985984664106986,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,20,0.7041392285983067,0.2540723002499406,0.39813492769309616,0.3958240442846809,0.0,0.0,0.6123657904479822,0.15384615384615385,0.781524926686217,0.23076923076923078,0.0,0.14178955507229996,0.0012659181795041594,0.3973720500157338,0.13083358031968476,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,21,0.721307619943556,0.2704638952493713,0.4260809967662963,0.3958240442846809,0.0,0.0,0.6238805970149254,0.18604651162790697,0.7963636363636364,0.28695652173913044,0.0,0.14123412481367603,-0.00023708338151257635,0.42621703117280013,0.15048312254798976,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,22,0.7222483537158984,0.26036763077320374,0.4296897737747941,0.3958240442846809,0.0,0.0,0.6312242605765631,0.10526315789473684,0.7967242948134667,0.28936170212765955,0.0,0.16770968727651023,0.01249940552966699,0.42247100465685905,0.11132887416830609,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,23,0.7231890874882408,0.27131863674345036,0.42992538948248543,0.3958240442846809,0.0,0.0,0.6316187594553706,0.17307692307692307,0.7966624342463269,0.2978723404255319,0.0,0.15123717217353863,0.00836576507164824,0.42511604537462944,0.14147823235546275,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,24,0.7328316086547507,0.2766194094572342,0.44608092942934874,0.3958240442846809,0.0,0.0,0.6395127521888085,0.18867924528301888,0.8059216465065896,0.3022222222222222,0.0,0.13839766839561637,-0.010772918988064192,0.45198465435222823,0.1604240564254696,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,25,0.7443555973659455,0.28225917144755147,0.46975519640248364,0.3958240442846809,0.0,0.0,0.6590126291618829,0.2,0.8142805625676163,0.3025210084033613,0.0,0.14278047630329413,0.014626786235973561,0.46188429298576666,0.16271059079798386,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,26,0.746472248353716,0.27504210885085334,0.4699023191689937,0.3958240442846809,0.0,0.0,0.661003861003861,0.14893617021276595,0.816209431594047,0.29914529914529914,0.0,0.15211146572336046,0.004659615277000506,0.46742070454769,0.14498443858822657,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,27,0.7471777986829727,0.2759684152452155,0.4727741547692133,0.3958240442846809,0.0,0.0,0.6618265189147879,0.15384615384615385,0.8165467625899281,0.29955947136563876,0.0,0.16399504585402833,0.000550877652255887,0.4724835577499803,0.13393864334879996,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,28,0.7596425211665099,0.2819797186658106,0.49450576191125456,0.3958240442846809,0.0,0.0,0.6740627390971691,0.1839080459770115,0.8274257071249552,0.28846153846153844,0.0,0.15973427802749574,-0.008214220790884933,0.4986241736481213,0.14548426461018374,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,29,0.7584666039510819,0.28631482067931385,0.49595210064445844,0.3958240442846809,0.0,0.0,0.6755521706016756,0.2,0.8258992805755395,0.30275229357798167,0.0,0.14652966937651593,-0.014922061778413195,0.5033629493950347,0.163784429624731,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,30,0.7652869238005644,0.29929087399675325,0.5098188004377097,0.3958240442846809,0.0,0.0,0.6850363566781478,0.24390243902439024,0.8298904257230106,0.33620689655172414,0.0,0.14878411791670598,0.002777669716367028,0.5084534464617619,0.17681384857586543,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,31,0.7652869238005644,0.3261577421097138,0.5085086317731471,0.3958240442846809,0.25,0.0,0.6859791425260718,0.1875,0.830736163353036,0.3288888888888889,0.0,0.14558384840615837,-0.00874199007137985,0.5127680090009197,0.2113418541617103,,,,,,,,,,,,,,,,,,,,,
