taxonomy,layer,norm_f1_mean,norm_f1_lower,norm_f1_upper
ekman_basic_emotions,0,6.283114362066756e-05,-0.0001567924760848936,0.0003802224801088498
ekman_basic_emotions,1,0.10714447659770494,0.07852946329166802,0.14692613467165447
ekman_basic_emotions,2,0.08661363699247447,0.07666459181320268,0.09780456315626063
ekman_basic_emotions,3,0.0979012167218252,0.08575442232716324,0.135826813916573
ekman_basic_emotions,4,0.11295174563917967,0.08680005894409291,0.14925835638203191
ekman_basic_emotions,5,0.1082965609479334,0.08777918515097045,0.15249474019533246
ekman_basic_emotions,6,0.11583871196271073,0.09573890893082813,0.16208218334313707
ekman_basic_emotions,7,0.12545101596643585,0.09003622352021283,0.20912257771973788
ekman_basic_emotions,8,0.14392526065329006,0.10440380203714231,0.2324861974026612
ekman_basic_emotions,9,0.14048623443691202,0.10093258786401296,0.23095005903970056
ekman_basic_emotions,10,0.138617079399618,0.09906921566407387,0.22819503714673794
ekman_basic_emotions,11,0.1527134708929999,0.10979450279651133,0.24400849482019227
ekman_basic_emotions,12,0.126215519627753,0.08396827331367478,0.2170039990001594
ekman_basic_emotions,13,0.13724520111590877,0.09773291167892738,0.22755215028828168
ekman_basic_emotions,14,0.13117726624598028,0.09439458609113723,0.2180179848402247
ekman_basic_emotions,15,0.13798428473638055,0.10480113878811248,0.18485249680302684
ekman_basic_emotions,16,0.14834656602067356,0.11148198559672175,0.22920872640151582
ekman_basic_emotions,17,0.16806357212559814,0.12854114470697267,0.25789973234842256
ekman_basic_emotions,18,0.1495862393367283,0.11130981164866002,0.2283033624126738
ekman_basic_emotions,19,0.17047114889327014,0.13321235035953888,0.22023660313342436
ekman_basic_emotions,20,0.15069780024883028,0.11416900807614014,0.20921635997028637
ekman_basic_emotions,21,0.1767309493311236,0.13539878662735774,0.2739691011015016
ekman_basic_emotions,22,0.17760957388896517,0.1370416467397953,0.27180424928412333
ekman_basic_emotions,23,0.18519512934059934,0.14252432145701502,0.28110726661628727
ekman_basic_emotions,24,0.19058666088483764,0.1487374919801734,0.26996116416016014
ekman_basic_emotions,25,0.21684070305801342,0.16607550041182204,0.3265861993061353
ekman_basic_emotions,26,0.21500266973871468,0.169388169417661,0.32041149658403145
ekman_basic_emotions,27,0.2062513443726415,0.15966851166451432,0.3164301434609902
ekman_basic_emotions,28,0.21575545290075887,0.16578108162822555,0.3278799298590726
ekman_basic_emotions,29,0.22345671157806873,0.1716752743965004,0.3393381616414808
ekman_basic_emotions,30,0.19403064809876142,0.14598502442776906,0.27725001376662867
ekman_basic_emotions,31,0.23055472646450068,0.18373378834631157,0.3276237388566316
ekman_basic_emotions,32,0.23381593114146795,0.18366978541887832,0.3503418422784915
ekman_basic_emotions,33,0.2474636775630047,0.19831425848703957,0.3638147279741003
ekman_basic_emotions,34,0.23846231558866976,0.19098401454089192,0.3511119004744708
ekman_basic_emotions,35,0.25029544495834355,0.2022670635312362,0.3267854760156512
