taxonomy,layer,norm_f1_mean,norm_f1_std,norm_f1_p2_5,norm_f1_p5,norm_f1_p16,norm_f1_p25,norm_f1_p75,norm_f1_p84,norm_f1_p95,norm_f1_p97_5
ekman_basic_emotions,0,0.0002684076016273343,0.0006508639962566788,-0.0009726866956692014,-0.0007775567918019072,-0.00038810665171821833,-0.00019378529640348143,0.000709507818864376,0.0009023155655393472,0.001351169643995741,0.0015430952791912833
ekman_basic_emotions,1,0.1496037270530432,0.008193821855587093,0.13407940822355485,0.1367069872480072,0.1414467446061696,0.14397196739616727,0.1549903618262443,0.15761903706394934,0.16352235343215119,0.16635539243566333
ekman_basic_emotions,2,0.13175661390798124,0.007023151389738332,0.1183828561467926,0.12049854426603784,0.12477876546217248,0.12694432583051365,0.13649994377347513,0.13877315110623245,0.14343051822226097,0.14581944156439067
ekman_basic_emotions,3,0.1754208261549502,0.00946047359078783,0.1572706918334705,0.16025698772488634,0.16607749627745297,0.16899306418893728,0.1817137216946721,0.1848749156141884,0.19122719795810023,0.19434637681861466
ekman_basic_emotions,4,0.16100458083980387,0.008567994678616835,0.14461373493963126,0.14718465497905278,0.15248952774623326,0.1550808510777145,0.16669958676697189,0.1695291235991023,0.1752747781311324,0.17815440347111164
ekman_basic_emotions,5,0.16855703249359175,0.008828784918797334,0.15162721959909356,0.15439882826851142,0.15979925679209445,0.1626394064095299,0.17441931569560531,0.1773396026370307,0.18322670204504693,0.18622132648157827
ekman_basic_emotions,6,0.164988049831913,0.008664978480754669,0.1484681861242659,0.15124070607838752,0.156280286705917,0.15898586233711798,0.17069360506398493,0.17358353870046486,0.17951183835725523,0.18264717709101347
ekman_basic_emotions,7,0.1683587181844736,0.009238486780815609,0.15098778040754063,0.15361072415869112,0.1593278164810831,0.16198564347099864,0.17459409496086056,0.17765429770610192,0.18404839186184552,0.18710198679829992
ekman_basic_emotions,8,0.18823213445515524,0.009232747373489492,0.17070049819508443,0.17322341076056008,0.17899145641706507,0.18187697917750778,0.19432483420227428,0.1973750066556492,0.2036312580787116,0.20680544502089593
ekman_basic_emotions,9,0.20685250943936898,0.010953680979132569,0.1863878515544351,0.1892769277312094,0.19588246679803983,0.19933769676933197,0.21408069295311893,0.2175802863625853,0.22535833431555843,0.229028785289607
ekman_basic_emotions,10,0.22086422290106197,0.013628174233252311,0.195776314726648,0.19942487762862623,0.20749079578416443,0.2113842980824447,0.2297845211538819,0.23467529903783838,0.2442974892374346,0.2492383654535754
ekman_basic_emotions,11,0.24842283088265257,0.011085866687869985,0.22703264466303946,0.23042288902554267,0.23752668631014157,0.2409626698062043,0.2557342208910005,0.25936229225090346,0.26694524218335614,0.2704996971081273
ekman_basic_emotions,12,0.24053138233111362,0.01064466426272978,0.22049381435624185,0.22355649998421276,0.22996890412785045,0.23319985668502663,0.24749292865623138,0.2512683066674306,0.258642220201868,0.26186079168456783
ekman_basic_emotions,13,0.24228254613121808,0.011020491450300336,0.22126074639254695,0.22461628166628744,0.23117836739150172,0.23478030535711328,0.24963798738088575,0.2531056491160823,0.26078781651421934,0.26430221017283734
ekman_basic_emotions,14,0.24914919894116866,0.01048522800758217,0.22898038855380726,0.2322255546957394,0.23875545776278548,0.242024135270875,0.25599402673104726,0.2593973943194695,0.26694093058059065,0.27062478896933595
ekman_basic_emotions,15,0.2714300241853683,0.016267065688332694,0.2412359817456952,0.2455559472890552,0.25496586953383155,0.2601172003063654,0.2821507875101642,0.2873780545977713,0.29920694650118934,0.3047357558537088
ekman_basic_emotions,16,0.2923364097944602,0.014944808189007343,0.26444334441139355,0.26848798124536366,0.27748616181337576,0.2819483138682435,0.3024999544863056,0.3070810033261859,0.3175394925892651,0.3227872189255032
ekman_basic_emotions,17,0.28189253109082363,0.016545799597910298,0.25063400422899845,0.2553728121756541,0.26533403006491296,0.2702721736823412,0.29276387682448735,0.29824771751225293,0.31021388628137014,0.31622118740555605
ekman_basic_emotions,18,0.2789485551210401,0.014467153556358402,0.25202951317312927,0.2563174585017689,0.2645396716416574,0.26889521802379857,0.28854160720865263,0.2934342074609457,0.3034112443645419,0.30873945092743416
ekman_basic_emotions,19,0.26799063459410877,0.01196547722970844,0.24475318465641008,0.24846374296016685,0.25611414064642496,0.25995523688035255,0.27607103962796536,0.2796845202371697,0.2880104649037877,0.2923951575231944
ekman_basic_emotions,20,0.2797938707242598,0.014963579193640148,0.2532156601650332,0.25674833433440797,0.2648245895580869,0.2691400679734794,0.2895264681314442,0.294588627903331,0.3054754625756188,0.3118855038957025
ekman_basic_emotions,21,0.2868472339512639,0.016592113244542378,0.25569180247817835,0.26048948363555186,0.270310586163288,0.27523814152474096,0.2977675703567746,0.30326453410286325,0.31495436193491294,0.32050673020414305
ekman_basic_emotions,22,0.27404677946160005,0.014311762755412943,0.24775074249235426,0.2517592941262538,0.2598780459538133,0.2641560950684782,0.28335118827467365,0.28820374185356434,0.29845849402797936,0.30364323089418244
ekman_basic_emotions,23,0.2832038165477582,0.017664767969560603,0.2504357363217312,0.2554032277164596,0.26561448180740405,0.27086264981105,0.29485273467204637,0.30105155684872986,0.3128049091844154,0.3188183573991912
ekman_basic_emotions,24,0.2877453749637244,0.016270205617256818,0.2570440368646777,0.26162158387295453,0.2715982117107504,0.27642614729802406,0.2984066703450322,0.3039846025669715,0.3154703372160928,0.32091740067488433
ekman_basic_emotions,25,0.28713708669729493,0.015980388917036886,0.2573487331937708,0.26215470635271426,0.27121726036157434,0.2760219245570234,0.2977932948165917,0.30328278427863004,0.3141640858420149,0.31926557434292346
ekman_basic_emotions,26,0.2899798777834215,0.017934352176318304,0.25628060605711045,0.2610821883800801,0.2720130871420709,0.2775088506793789,0.30206965125116064,0.30801204623691913,0.3202259965289201,0.3261080434546126
