layer,taxonomy,macro_f1,control_macro_f1,normalized_f1,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1
0,ekman_basic_emotions,0.282456980875577,0.13249824667770185,0.1728627447997351,0.12121212121212122,0.0,0.44919786096256686,0.20276497695852536,0.7180406212664278,0.39902676399026765,0.08695652173913043
1,ekman_basic_emotions,0.2509383585833539,0.13202668390920624,0.13699922851281407,0.0784313725490196,0.0,0.4332892998678996,0.1694915254237288,0.6792682926829269,0.3960880195599022,0.0
2,ekman_basic_emotions,0.25330273804164155,0.13386751309434342,0.13789486799414744,0.11235955056179775,0.0,0.44596443228454175,0.1572052401746725,0.7134502923976608,0.34413965087281795,0.0
3,ekman_basic_emotions,0.28426720311616266,0.1339996434232046,0.17351905060056702,0.08955223880597014,0.1,0.4702774108322325,0.20754716981132076,0.748109365910413,0.37438423645320196,0.0
4,ekman_basic_emotions,0.26684432523886553,0.13566263920386587,0.15177139388510208,0.09836065573770492,0.0,0.4827586206896552,0.16216216216216217,0.7315084449621433,0.3931203931203931,0.0
5,ekman_basic_emotions,0.2980798027014799,0.13092692580151288,0.19233466305940464,0.1411764705882353,0.0,0.4932975871313673,0.2096069868995633,0.727489564698867,0.4316546762589928,0.08333333333333333
6,ekman_basic_emotions,0.28012342323868866,0.12236715392118169,0.17975201135913185,0.12658227848101267,0.0,0.48516129032258065,0.18090452261306533,0.7417452830188679,0.4264705882352941,0.0
7,ekman_basic_emotions,0.2662060047027778,0.12671589280851756,0.15973050550852935,0.11904761904761904,0.0,0.5052356020942408,0.17937219730941703,0.7128478389579633,0.3469387755102041,0.0
8,ekman_basic_emotions,0.24440114027266976,0.12891347958465713,0.1325788632717528,0.10416666666666667,0.0,0.4132231404958678,0.12345679012345678,0.6976463488231744,0.3723150357995227,0.0
9,ekman_basic_emotions,0.2586636932046172,0.1266624809876874,0.15114570179718662,0.1320754716981132,0.0,0.4563758389261745,0.13973799126637554,0.6947496947496947,0.3877068557919622,0.0
10,ekman_basic_emotions,0.27219182311648993,0.13736326159859208,0.15629819078625715,0.04819277108433735,0.0,0.4993288590604027,0.18181818181818182,0.7410029498525074,0.435,0.0
11,ekman_basic_emotions,0.2568585917458141,0.13342499663681714,0.14243844402382994,0.15,0.0,0.4268456375838926,0.1523809523809524,0.7047058823529412,0.3640776699029126,0.0
12,ekman_basic_emotions,0.28835614506275864,0.13334741133725977,0.17885913658283764,0.1518987341772152,0.0,0.5289473684210526,0.18556701030927836,0.743811168681635,0.4082687338501292,0.0
13,ekman_basic_emotions,0.2829649452482587,0.1256463238447047,0.17992561327735807,0.08695652173913043,0.0,0.535031847133758,0.21052631578947367,0.7492762015055009,0.39896373056994816,0.0
14,ekman_basic_emotions,0.286250894861063,0.1536026753022004,0.15672098161017195,0.10344827586206896,0.0,0.504,0.24489795918367346,0.7566048341765037,0.3948051948051948,0.0
15,ekman_basic_emotions,0.3651460356705565,0.13392325180316675,0.26697724462502226,0.25396825396825395,0.0,0.5797101449275363,0.2918918918918919,0.7808142777467931,0.5163043478260869,0.13333333333333333
16,ekman_basic_emotions,0.34820002328864186,0.14701228464976387,0.23586241046422393,0.22580645161290322,0.0,0.6047745358090185,0.2742857142857143,0.7961926091825308,0.5363408521303258,0.0
17,ekman_basic_emotions,0.3540783245760298,0.13477115148183633,0.2534672456538989,0.2711864406779661,0.0,0.5695364238410596,0.28865979381443296,0.7864406779661017,0.46272493573264784,0.1
18,ekman_basic_emotions,0.34040710170437644,0.1450511306477219,0.22850018060689303,0.21875,0.0,0.5702917771883289,0.3118279569892473,0.7819799777530589,0.5,0.0
19,ekman_basic_emotions,0.38230514523914344,0.13422812021241687,0.2865385568858996,0.2727272727272727,0.13333333333333333,0.6044678055190539,0.327683615819209,0.7948430493273543,0.5430809399477807,0.0
20,ekman_basic_emotions,0.3637892984668844,0.1449814093181088,0.25591009544514437,0.2545454545454545,0.0,0.6007905138339921,0.35428571428571426,0.8053244592346089,0.531578947368421,0.0
21,ekman_basic_emotions,0.35586598978167355,0.14570813312518086,0.24600240831660344,0.19047619047619047,0.0,0.5896739130434783,0.34408602150537637,0.793141592920354,0.5736842105263158,0.0
