layer,taxonomy,mean_corr,std_corr,shuffle_corr,lexical_partial,complex_partial,noise_ceiling
0,ekman_basic_emotions,-0.0029159253344609236,0.015005466050281812,0.0024518102349245906,-0.0014357986402187678,,0.9197129104658778
0,plutchik_wheel,0.01620783225915849,0.011571950425674321,0.0009156247632252791,0.01641894718338115,,0.9197129104658778
0,go_emotions,0.017671504955276578,0.010096950687670678,0.0017521687383869895,0.019246531156812782,0.02003678957685089,0.9197129104658778
1,ekman_basic_emotions,0.006719688225414057,0.01681332964102472,-0.0008132067108906022,0.007551843941951165,,0.988531608669868
1,plutchik_wheel,0.015214700873750826,0.014254222647035788,-0.004298300910368275,0.015179445509206914,,0.988531608669868
1,go_emotions,0.019429557980346325,0.008248607131515847,-0.0009349679225522031,0.02027329463835816,0.01750296973929274,0.988531608669868
2,ekman_basic_emotions,0.006335432344474927,0.015090186554423832,0.0002206144047173132,0.005498691945894965,,0.9970679771892621
2,plutchik_wheel,0.017750996529873844,0.015738935691778408,-0.0013356379689855552,0.017282622925795764,,0.9970679771892621
2,go_emotions,0.02046844329533597,0.01120231681126919,-0.00028144521623606504,0.0189856819696798,0.020380464519449592,0.9970679771892621
3,ekman_basic_emotions,0.0035794392836029894,0.01599639060773203,-0.007428118935320095,0.00328577606460571,,0.9992734118743382
3,plutchik_wheel,0.006876259723543236,0.016813274298804057,0.0004888162640174719,0.0065482046981723855,,0.9992734118743382
3,go_emotions,0.023570800584311963,0.011559238655821846,-0.00030994886080496214,0.021252402460613565,0.021982014148536972,0.9992734118743382
4,ekman_basic_emotions,-0.002299248133973941,0.014096867435873257,-0.0027157468052562196,-0.0021700261063432673,,0.9995739064585974
4,plutchik_wheel,0.004329356903594503,0.015073431999170132,-0.0006813109870070305,0.004295433250010742,,0.9995739064585974
4,go_emotions,0.021601037450202636,0.010067207966243198,0.0012219344506205813,0.020545543866664403,0.02353206081485066,0.9995739064585974
5,ekman_basic_emotions,0.009303781861162552,0.016633857545585266,0.0005849913891620592,0.008219940089100163,,0.9997843281728918
5,plutchik_wheel,0.015380331355288683,0.01663416389549859,0.00262690889830216,0.014333326621712843,,0.9997843281728918
5,go_emotions,0.03946948863767041,0.011128871800990692,-1.1167927184246706e-05,0.03439307203869255,0.0345461504577322,0.9997843281728918
6,ekman_basic_emotions,0.014810226603127212,0.017174887405652105,-6.561635057847466e-05,0.012868300618035577,,0.9998324970923561
