slot,taxonomy,layer,macro_f1,control_f1,normalized_f1
last_token_activation,ekman_basic_emotions,0,0.32710457531915244,0.14108931939262334,0.21657112913648816
last_token_activation,ekman_basic_emotions,1,0.3410332690197139,0.1451876308061299,0.2291095043445336
last_token_activation,ekman_basic_emotions,2,0.34870821733267976,0.14324529986155607,0.23981533738644528
last_token_activation,ekman_basic_emotions,3,0.3351782644273658,0.13770526449249165,0.2290087041046938
last_token_activation,ekman_basic_emotions,4,0.33734290116101356,0.147888387651143,0.2223353264575713
last_token_activation,ekman_basic_emotions,5,0.35792347266877467,0.1424269387331519,0.2512865010210103
last_token_activation,ekman_basic_emotions,6,0.3296354517669436,0.1420646456977295,0.2186304657205309
last_token_activation,ekman_basic_emotions,7,0.3441273369801903,0.14292837096515873,0.23475163475146668
last_token_activation,ekman_basic_emotions,8,0.338883594443318,0.13995547439108158,0.23129979219551886
last_token_activation,ekman_basic_emotions,9,0.3677107163722088,0.14968947419767267,0.2564019091364509
last_token_activation,ekman_basic_emotions,10,0.3422061444308201,0.13654897486280268,0.23818046835411388
last_token_activation,ekman_basic_emotions,11,0.36058046419243267,0.1421381878797865,0.2546357387942984
last_token_activation,ekman_basic_emotions,12,0.39785610558884,0.14293959983106183,0.29743120287383557
last_token_activation,ekman_basic_emotions,13,0.4330497887834879,0.13820034756876626,0.34213223500719475
last_token_activation,ekman_basic_emotions,14,0.4391849906414277,0.14226521594190059,0.3461673470845447
last_token_activation,ekman_basic_emotions,15,0.48447755201402176,0.15316076962432298,0.3912392937236967
last_token_activation,ekman_basic_emotions,16,0.4650852028248021,0.13659645463500097,0.38045795613560324
last_token_activation,ekman_basic_emotions,17,0.49253433304345356,0.15235782174328039,0.40132088754689865
last_token_activation,ekman_basic_emotions,18,0.4853989442709291,0.14166715952302397,0.4004644451875955
last_token_activation,ekman_basic_emotions,19,0.5250962466801229,0.1376309350550743,0.44930335209762384
last_token_activation,ekman_basic_emotions,20,0.514460771256504,0.1449219650265465,0.4321696864092996
last_token_activation,ekman_basic_emotions,21,0.5068155484091564,0.13971736905859514,0.4267181111733557
last_token_activation,ekman_basic_emotions,22,0.4980220757560779,0.14282361728186374,0.41438199375940277
last_token_activation,ekman_basic_emotions,23,0.49588439818231417,0.1450738799964401,0.4103401568598855
last_token_activation,ekman_basic_emotions,24,0.5198639743530667,0.13870946267471926,0.4425388358056442
last_token_activation,ekman_basic_emotions,25,0.5206459133483492,0.1431294226020777,0.44057585906693647
last_token_activation,ekman_basic_emotions,26,0.5185448852453944,0.13482609275160493,0.4435163720022155
last_token_activation,ekman_basic_emotions,27,0.5217580463445173,0.1360977071967123,0.44641661720374737
last_token_activation,ekman_basic_emotions,28,0.5463090653423391,0.14552259003278342,0.4690427981295989
last_token_activation,ekman_basic_emotions,29,0.5478862962220118,0.1416102354220293,0.4733002157821966
last_token_activation,ekman_basic_emotions,30,0.5302921952070594,0.1347742227608328,0.45712689433303466
last_token_activation,ekman_basic_emotions,31,0.5280779494773785,0.14118265791530263,0.45049776314824336
