slot,taxonomy,layer,macro_f1,control_f1,normalized_f1
last_token_activation,ekman_basic_emotions,0,0.15272410098564876,0.11162389789159792,0.0462644177353565
last_token_activation,ekman_basic_emotions,1,0.15747302865924048,0.13874124562564585,0.02174930929695106
last_token_activation,ekman_basic_emotions,2,0.26240045838917553,0.14839643550944728,0.13386982820806753
last_token_activation,ekman_basic_emotions,3,0.2896372569383316,0.1401278382562687,0.1738740074790575
last_token_activation,ekman_basic_emotions,4,0.27662254361066485,0.13563465241414405,0.16311145696700516
last_token_activation,ekman_basic_emotions,5,0.31281124356439294,0.14076792701472243,0.20022916038495966
last_token_activation,ekman_basic_emotions,6,0.33153137716199177,0.14231523125365012,0.22061269221897548
last_token_activation,ekman_basic_emotions,7,0.3381206502454067,0.1478470536368375,0.22328573458628892
last_token_activation,ekman_basic_emotions,8,0.3502993409364644,0.14745303282186784,0.2379297750433656
last_token_activation,ekman_basic_emotions,9,0.35231782443134835,0.13984661395783338,0.24701549040126566
last_token_activation,ekman_basic_emotions,10,0.3608399294443466,0.13327751729139484,0.26255510465332993
last_token_activation,ekman_basic_emotions,11,0.36614801128607033,0.15169112264646128,0.2528051920294035
last_token_activation,ekman_basic_emotions,12,0.35938852727158366,0.14730127866808507,0.24872471753237582
last_token_activation,ekman_basic_emotions,13,0.36856871473585023,0.14211569457329054,0.26396685279132426
last_token_activation,ekman_basic_emotions,14,0.37440177132254354,0.1381712603941666,0.2741037749987538
last_token_activation,ekman_basic_emotions,15,0.3752988294024783,0.1424938234932233,0.27149076273436634
last_token_activation,ekman_basic_emotions,16,0.3862672537231486,0.15155187832933445,0.2766408097311122
last_token_activation,ekman_basic_emotions,17,0.3664676435596507,0.1476255929008653,0.2567440420971405
last_token_activation,ekman_basic_emotions,18,0.37295994842154745,0.1337821799702613,0.2761173493787911
last_token_activation,ekman_basic_emotions,19,0.4146829605446389,0.14402071973181632,0.3162018603160842
last_token_activation,ekman_basic_emotions,20,0.4339967467980378,0.14455918310941218,0.33834902190041877
last_token_activation,ekman_basic_emotions,21,0.41644700112124383,0.14020361993132738,0.3212893047628936
last_token_activation,ekman_basic_emotions,22,0.4269920073983884,0.1407003598449129,0.333168587737108
last_token_activation,ekman_basic_emotions,23,0.4347079959422243,0.141443226569521,0.3415787731787666
last_token_activation,ekman_basic_emotions,24,0.43614329085704046,0.13768035161711698,0.3461163616063187
last_token_activation,ekman_basic_emotions,25,0.43832898192005526,0.1465710871389436,0.34186549152994505
last_token_activation,ekman_basic_emotions,26,0.4460018818894672,0.14211345617562013,0.3542291552436995
last_token_activation,ekman_basic_emotions,27,0.44298507049779323,0.1425995355058417,0.35034449761952297
last_token_activation,ekman_basic_emotions,28,0.4359132130685927,0.14973202962939802,0.3365776360062797
last_token_activation,ekman_basic_emotions,29,0.4479703728022062,0.14126241420738436,0.35716144683678896
last_token_activation,ekman_basic_emotions,30,0.4675813857679164,0.13711435097142613,0.3829789441608237
last_token_activation,ekman_basic_emotions,31,0.47370187068640945,0.14020811416146842,0.3878773014933651
last_token_activation,ekman_basic_emotions,32,0.4543133794425827,0.14402515006465302,0.3624968997644804
