taxonomy,layer,accuracy,macro_f1,mcc,imbalance_entropy,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1,control_macro_f1,control_mcc,normalized_mcc,normalized_macro_f1,Admiration_f1,Amusement_f1,Annoyance_f1,Approval_f1,Caring_f1,Confusion_f1,Curiosity_f1,Desire_f1,Disappointment_f1,Disapproval_f1,Embarrassment_f1,Excitement_f1,Gratitude_f1,Grief_f1,Joy_f1,Love_f1,Nervousness_f1,Optimism_f1,Pride_f1,Realization_f1,Relief_f1,Remorse_f1,Anticipation_f1,Trust_f1
ekman_basic_emotions,0,0.02547169811320755,0.007096858982783546,0.0,0.7087548312245161,0.04967801287948482,0.0,0.0,0.0,0.0,0.0,0.0,0.007480805827154013,0.0,0.0,-0.000386840724718119,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,1,0.20849056603773586,0.14961910473882095,0.09580083266485316,0.7087548312245161,0.06060606060606061,0.019161676646706587,0.34236267870579384,0.10869565217391304,0.2892128279883382,0.18574108818011256,0.04155374887082204,0.06649961934428611,0.00012785195525200017,0.0956852142513319,0.08904065506234679,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,2,0.16297169811320755,0.13295019363107105,0.07646415380078786,0.7087548312245161,0.06329113924050633,0.01078167115902965,0.22441430332922319,0.10425240054869685,0.2889165628891656,0.19889502762430938,0.040100250626566414,0.07378216871723729,0.0016083096563407966,0.07497642945994544,0.06388132782100424,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,3,0.22617924528301886,0.18121219258801946,0.12833251823170763,0.7087548312245161,0.1050228310502283,0.014767932489451477,0.3257779485209374,0.20316027088036118,0.33271028037383177,0.2387774594078319,0.048268625393494226,0.07054383621683626,-0.010871212058497396,0.13770669164347468,0.11906785998462799,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,4,0.25872641509433963,0.19520989927511812,0.14191424461765687,0.7087548312245161,0.0931098696461825,0.01576872536136662,0.37522636725823977,0.20965842167255594,0.3470483005366726,0.26408125577100644,0.06157635467980296,0.05448706004912611,-0.007275398210050471,0.1481120685492969,0.14883227217736814,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,5,0.3625,0.2517289015531142,0.2224829098205763,0.7087548312245161,0.1062992125984252,0.026607538802660754,0.5201938610662359,0.2910602910602911,0.40023823704586065,0.3477508650519031,0.06995230524642289,0.09091401666620279,0.0033538438599088377,0.21986646375011568,0.17689733186422213,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,6,0.4393867924528302,0.2933671097487663,0.2934984469267071,0.7087548312245161,0.14345991561181434,0.029850746268656716,0.6231094978826376,0.35519677093844604,0.43285371702637887,0.39767054908485855,0.07142857142857142,0.08518650984309277,0.002582799959463421,0.2916689695700259,0.22756616747088712,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,7,0.46462264150943394,0.3054299710752866,0.31494504157889963,0.7087548312245161,0.15031315240083507,0.03460207612456748,0.6556701030927835,0.3428011753183154,0.44885679903730447,0.41402337228714525,0.09174311926605505,0.09491120560534248,0.00498559594568616,0.3115125211959183,0.23259459930751156,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,8,0.49339622641509434,0.3210957292092164,0.3450450974715596,0.7087548312245161,0.1527777777777778,0.03508771929824561,0.6868981616574263,0.37016052880075545,0.4678362573099415,0.42518397383483236,0.10972568578553615,0.09514906874624209,-0.0037031104706401344,0.34746151955100585,0.24970594896764214,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,9,0.5195754716981132,0.3384331566247667,0.3743225453715482,0.7087548312245161,0.15602836879432624,0.03980099502487562,0.7008350129570976,0.39433962264150946,0.5038078500292912,0.46811945117029863,0.10610079575596817,0.09968163415170118,-0.004354785820446936,0.37703542267950424,0.26518566268289867,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,10,0.5455188679245283,0.3535798680073228,0.4023515849939067,0.7087548312245161,0.14215686274509803,0.05442176870748299,0.7146529562982005,0.4233301975540922,0.5329545454545455,0.49608763693270735,0.11145510835913312,0.10573461354624655,-0.004946472452146127,0.40529328537490605,0.27714955561896104,,,,,,,,,,,,,,,,,,,,,,,,
