taxonomy,layer,accuracy,macro_f1,mcc,imbalance_entropy,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1,control_macro_f1,control_mcc,normalized_mcc,normalized_macro_f1,Admiration_f1,Amusement_f1,Annoyance_f1,Approval_f1,Caring_f1,Confusion_f1,Curiosity_f1,Desire_f1,Disappointment_f1,Disapproval_f1,Excitement_f1,Gratitude_f1,Grief_f1,Joy_f1,Nervousness_f1,Optimism_f1,Pride_f1,Realization_f1,Relief_f1,Remorse_f1,Anticipation_f1,Trust_f1
ekman_basic_emotions,0,0.0007060484819957637,0.00020158580835909153,0.0,0.42758371073449114,0.0014111006585136407,0.0,0.0,0.0,0.0,0.0,0.0,0.00013442215277077661,0.0,0.0,6.717268508525147e-05,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,1,0.3930336549776418,0.16648257621334128,0.1605044602706829,0.42758371073449114,0.0,0.0,0.4217225286380993,0.062266500622665005,0.5340493043690505,0.14733969986357434,0.0,0.07520248563016309,0.008239795294940644,0.15352971842727287,0.09870278538256783,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,2,0.25629559896446225,0.10377356565604477,0.05934927294527616,0.42758371073449114,0.0,0.0,0.16295427901524032,0.031055900621118012,0.46954763709881225,0.06285714285714286,0.0,0.0403991970453781,0.006338732798089898,0.053348703322673253,0.06604242974321849,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,3,0.2621793363144269,0.12065127116477158,0.08115678290096774,0.42758371073449114,0.0,0.0,0.2160723789249601,0.0632279534109817,0.4476115069939298,0.11764705882352941,0.0,0.04784187290240723,-0.006753083598105127,0.08732018598332539,0.07646775907307007,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,4,0.30030595434219814,0.13520392388211355,0.10785515600381913,0.42758371073449114,0.005917159763313609,0.0,0.3082706766917293,0.05078597339782346,0.463363205060622,0.11809045226130653,0.0,0.05968387343008195,-0.011586288240495705,0.11807341166324575,0.08031346939407856,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,5,0.35773123087785363,0.15542918725198757,0.14699419641339312,0.42758371073449114,0.006557377049180328,0.0,0.3721356553620532,0.05511811023622047,0.5213910432824619,0.13280212483399734,0.0,0.0693180420114998,0.008934536162748138,0.13930427937232256,0.09252478196375628,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,6,0.42056954577547656,0.17607016406960913,0.19405554054644575,0.42758371073449114,0.0,0.0,0.46733466933867734,0.0725,0.5509452492020623,0.14171122994652408,0.0,0.08382712902069912,0.007057667040302424,0.18832702292866524,0.10068300205212478,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,7,0.4688161920451871,0.19244608035182773,0.2330669819479528,0.42758371073449114,0.0,0.0,0.5044281863688872,0.08488063660477453,0.5911470728224655,0.16666666666666666,0.0,0.09447182989036475,0.018722680319788784,0.2184339710389075,0.10819569583307487,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,8,0.5314191574488115,0.21321067371135247,0.29159889469639977,0.42758371073449114,0.0,0.0,0.569364161849711,0.10044313146233383,0.6347886347886348,0.18787878787878787,0.0,0.09879502455312902,-0.009608519963684965,0.2983408011165743,0.1269585191776037,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,9,0.5636620381266181,0.22476251020085813,0.32032988820336283,0.42758371073449114,0.0,0.0,0.5835734870317003,0.11822660098522167,0.6677158273381295,0.20382165605095542,0.0,0.10884645467330731,-0.00044021664262155216,0.32062895864228363,0.13007416750505835,,,,,,,,,,,,,,,,,,,,,,
