slot,taxonomy,layer,macro_f1,control_f1,normalized_f1
last_token_activation,ekman_basic_emotions,0,0.24324962118242638,0.12799252523012336,0.13217443575551854
last_token_activation,ekman_basic_emotions,1,0.2409800612337743,0.13308525812545388,0.12445837854252824
last_token_activation,ekman_basic_emotions,2,0.25686648105220705,0.13650023599215966,0.13939348923661604
last_token_activation,ekman_basic_emotions,3,0.26036429068173866,0.13976230267433987,0.1401961206563382
last_token_activation,ekman_basic_emotions,4,0.2750279727287919,0.13982711978539306,0.15717869750749086
last_token_activation,ekman_basic_emotions,5,0.25904728868368604,0.1400857965743683,0.13834111779455674
last_token_activation,ekman_basic_emotions,6,0.2691108462518123,0.14516862537542582,0.14499025720811848
last_token_activation,ekman_basic_emotions,7,0.2680011436848719,0.13196922867737762,0.15671324047674234
last_token_activation,ekman_basic_emotions,8,0.2793451130435257,0.1367052959407022,0.16522725835351112
last_token_activation,ekman_basic_emotions,9,0.2895856579210875,0.14008792684506488,0.1738523457724343
last_token_activation,ekman_basic_emotions,10,0.30850013659057873,0.14418464819278132,0.19199876240922023
last_token_activation,ekman_basic_emotions,11,0.3043898897136395,0.14046703425433557,0.19071153986176334
last_token_activation,ekman_basic_emotions,12,0.3177633097874436,0.1369118074292018,0.20954000288146307
last_token_activation,ekman_basic_emotions,13,0.33324769881856586,0.1350484230006407,0.22914493838546057
last_token_activation,ekman_basic_emotions,14,0.31349318445720764,0.13903206138138058,0.20263370475297993
last_token_activation,ekman_basic_emotions,15,0.32566987777262507,0.1328780465705458,0.2223353133196438
last_token_activation,ekman_basic_emotions,16,0.32334781038066346,0.14866147264888094,0.20519021766265763
last_token_activation,ekman_basic_emotions,17,0.3359788607795843,0.1313425701712054,0.2355776668469998
last_token_activation,ekman_basic_emotions,18,0.33200609255877855,0.14031368117813023,0.22297948354388983
last_token_activation,ekman_basic_emotions,19,0.33195762892244074,0.14285503250508458,0.22061915263881884
last_token_activation,ekman_basic_emotions,20,0.3366218006983261,0.1369390898697343,0.23136572226223612
last_token_activation,ekman_basic_emotions,21,0.34188085364854814,0.14237484340947573,0.2326261172564078
last_token_activation,ekman_basic_emotions,22,0.34634586388627764,0.13903352185438156,0.24079025989306005
last_token_activation,ekman_basic_emotions,23,0.33187136732145683,0.14395123766732223,0.21952035669330838
last_token_activation,ekman_basic_emotions,24,0.35251780985836084,0.13799335750252048,0.24886635645208224
last_token_activation,ekman_basic_emotions,25,0.36225986992217196,0.12465280525174681,0.27144322400982857
