taxonomy,layer,accuracy,macro_f1,mcc,imbalance_entropy,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1,control_macro_f1,control_mcc,normalized_mcc,Admiration_f1,Amusement_f1,Annoyance_f1,Approval_f1,Caring_f1,Confusion_f1,Curiosity_f1,Desire_f1,Disappointment_f1,Disapproval_f1,Embarrassment_f1,Excitement_f1,Gratitude_f1,Grief_f1,Joy_f1,Love_f1,Nervousness_f1,Optimism_f1,Pride_f1,Realization_f1,Relief_f1,Remorse_f1,Anticipation_f1,Trust_f1
ekman_basic_emotions,0,0.02547169811320755,0.007096858982783546,0.0,0.708739064447619,0.04967801287948482,0.0,0.0,0.0,0.0,0.0,0.0,0.007927408523602058,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,1,0.20849056603773586,0.14938645401399758,0.09506937404304987,0.708739064447619,0.06060606060606061,0.01937046004842615,0.34236267870579384,0.10914051841746249,0.2872032426172554,0.1853932584269663,0.0416289592760181,0.05801488361793108,-0.006267151163026388,0.10070538930834941,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,2,0.16462264150943395,0.13372800039425864,0.07750026556003216,0.708739064447619,0.06309148264984227,0.01085972850678733,0.22932022932022933,0.10425240054869685,0.2892768079800499,0.1992619926199262,0.040033361134278564,0.057057398320551116,0.006529206892095734,0.07143748881224332,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,3,0.2275943396226415,0.18245061922266628,0.12969929172317077,0.708739064447619,0.11185682326621924,0.01487778958554729,0.32988901645618063,0.2025028441410694,0.3354192740926158,0.23484119345524543,0.04776739356178609,0.05317247578505211,-0.0032220305428197556,0.13249442119414975,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,4,0.2634433962264151,0.19860645011734368,0.14643244550155604,0.708739064447619,0.09811320754716982,0.015978695073235686,0.38136511375947996,0.2224824355971897,0.35378201310303753,0.25919117647058826,0.059332509270704575,0.06637417770097871,0.0018494562012276621,0.14485088466722948,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,5,0.36462264150943396,0.2526596679138324,0.22409503690858193,0.708739064447619,0.10567514677103718,0.0273972602739726,0.5230570783618188,0.29258098223615464,0.4004739336492891,0.3494809688581315,0.06995230524642289,0.0849585745853058,0.004467788919639318,0.22061289985845975,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,6,0.4412735849056604,0.2936948779998753,0.2951596862155432,0.708739064447619,0.14166666666666666,0.030211480362537766,0.6272617611580217,0.35365853658536583,0.43415514131088395,0.39733998337489607,0.07157057654075547,0.0877295410068301,0.003676109404257318,0.29255905590800996,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,7,0.467688679245283,0.30718980210634556,0.3183146751200553,0.708739064447619,0.15,0.03484320557491289,0.6596119929453262,0.34765625,0.4507552870090634,0.414654454621149,0.09280742459396751,0.0922076271056671,0.00228156387167396,0.31675580986030144,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,8,0.49339622641509434,0.3210957292092164,0.3450450974715596,0.708739064447619,0.1527777777777778,0.03508771929824561,0.6868981616574263,0.37016052880075545,0.4678362573099415,0.42518397383483236,0.10972568578553615,0.0982656219596723,0.00044289232483135177,0.3447548944434253,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,9,0.5195754716981132,0.3384331566247667,0.3743225453715482,0.708739064447619,0.15602836879432624,0.03980099502487562,0.7008350129570976,0.39433962264150946,0.5038078500292912,0.46811945117029863,0.10610079575596817,0.09608649809341703,-0.005416899607653376,0.3776935171145307,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,10,0.5455188679245283,0.3535798680073228,0.4023515849939067,0.708739064447619,0.14215686274509803,0.05442176870748299,0.7146529562982005,0.4233301975540922,0.5329545454545455,0.49608763693270735,0.11145510835913312,0.10637274468236181,0.0015398129373090127,0.4014298990085136,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,11,0.564622641509434,0.37502357479426063,0.4252163638284297,0.708739064447619,0.17798594847775176,0.0847457627118644,0.731859410430839,0.44894204231830726,0.5309427414690573,0.5192012288786483,0.1314878892733564,0.10283269482901435,-0.005611681850858534,0.42842386723902837,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,12,0.5804245283018868,0.38729386292166695,0.44316156751661806,0.708739064447619,0.19854721549636803,0.08620689655172414,0.7431786216596343,0.45161290322580644,0.5573212258796821,0.5287356321839081,0.14545454545454545,0.10568089443364224,-0.0036336522168587287,0.44517759916338095,,,,,,,,,,,,,,,,,,,,,,,,
