slot,taxonomy,layer,macro_f1,control_f1,normalized_f1
last_token_activation,ekman_basic_emotions,0,0.2806834105797046,0.13876630904484377,0.16478349956034213
last_token_activation,ekman_basic_emotions,1,0.3033757884447871,0.12989124426571538,0.19938259790601479
last_token_activation,ekman_basic_emotions,2,0.3095177092892066,0.1443139658118551,0.19306584059665408
last_token_activation,ekman_basic_emotions,3,0.31895182043336867,0.13938121638760284,0.20865289889680153
last_token_activation,ekman_basic_emotions,4,0.31385811037559186,0.1367552602413012,0.20515948951371066
last_token_activation,ekman_basic_emotions,5,0.3138847906191173,0.1463475206926208,0.1962593373622364
last_token_activation,ekman_basic_emotions,6,0.32200331475520166,0.14695793152629763,0.20520134902854484
last_token_activation,ekman_basic_emotions,7,0.35130765088166893,0.1393444380344448,0.24628111664455524
last_token_activation,ekman_basic_emotions,8,0.3672532093812163,0.14603445918548053,0.25904880188108703
last_token_activation,ekman_basic_emotions,9,0.3756644913234644,0.13554991222788212,0.27776569462143447
last_token_activation,ekman_basic_emotions,10,0.4038724867163804,0.14142152374180955,0.30568080872277414
last_token_activation,ekman_basic_emotions,11,0.43480795480971585,0.142602160073593,0.3408053777709584
last_token_activation,ekman_basic_emotions,12,0.4377024029193435,0.13574878816954736,0.3493817661074138
last_token_activation,ekman_basic_emotions,13,0.4912497163423482,0.1467970814496591,0.403717131532955
last_token_activation,ekman_basic_emotions,14,0.445511803734532,0.14200981412654803,0.35373596878501884
last_token_activation,ekman_basic_emotions,15,0.46054269307046164,0.14835108498109525,0.36657312958877714
last_token_activation,ekman_basic_emotions,16,0.4439265688560505,0.1422146308665667,0.3517336024211796
last_token_activation,ekman_basic_emotions,17,0.4411257966270104,0.14188295982142582,0.3487203059658531
last_token_activation,ekman_basic_emotions,18,0.43160573471023433,0.1338611999538476,0.3437607629868577
last_token_activation,ekman_basic_emotions,19,0.48295852313183013,0.13505318700064256,0.40222743283458523
last_token_activation,ekman_basic_emotions,20,0.46171312663556874,0.13612499242311837,0.3768926422882702
last_token_activation,ekman_basic_emotions,21,0.4472498947375917,0.14225424399667075,0.3555781519247029
