slot,taxonomy,layer,macro_f1,control_f1,normalized_f1
last_token_activation,ekman_basic_emotions,0,0.3092897141264804,0.13942645125254624,0.19738378331656423
last_token_activation,ekman_basic_emotions,1,0.34164812783413306,0.13361712805938442,0.24011439573912502
last_token_activation,ekman_basic_emotions,2,0.3162439398063844,0.14236492074446358,0.20274242888112173
last_token_activation,ekman_basic_emotions,3,0.3732913324938686,0.13450043395027042,0.27589950117881146
last_token_activation,ekman_basic_emotions,4,0.35493714946488186,0.15290188927282297,0.23850278690696777
last_token_activation,ekman_basic_emotions,5,0.36873614248614794,0.1391401569473193,0.2667054194613866
last_token_activation,ekman_basic_emotions,6,0.3620079287586343,0.14560942678985747,0.2532781947203815
last_token_activation,ekman_basic_emotions,7,0.357782598440037,0.13856553673604452,0.2544790939445168
last_token_activation,ekman_basic_emotions,8,0.33348248386613494,0.1396537525979993,0.22529154029955137
last_token_activation,ekman_basic_emotions,9,0.3618719285165653,0.13585122990193357,0.2615529946180241
last_token_activation,ekman_basic_emotions,10,0.3977223988200976,0.1404375366851043,0.2993207278302687
last_token_activation,ekman_basic_emotions,11,0.41566029955172745,0.13705785665350398,0.3228518215807622
last_token_activation,ekman_basic_emotions,12,0.4173780220703624,0.14340563349009403,0.31983912023206157
last_token_activation,ekman_basic_emotions,13,0.4238230450505598,0.14126966378265804,0.3290362170184103
last_token_activation,ekman_basic_emotions,14,0.43174561116908233,0.14268604347110933,0.33716885803226976
last_token_activation,ekman_basic_emotions,15,0.43959633702314616,0.13902183235469168,0.3491081608846094
last_token_activation,ekman_basic_emotions,16,0.45118761636976984,0.1481491520893645,0.3557412251495417
last_token_activation,ekman_basic_emotions,17,0.4832447885680193,0.14362027877644148,0.3965816814372214
last_token_activation,ekman_basic_emotions,18,0.47109909544415507,0.13718433101060132,0.38700591149980207
last_token_activation,ekman_basic_emotions,19,0.4816659573794711,0.13654348888100132,0.3996987272134962
last_token_activation,ekman_basic_emotions,20,0.47581947912991795,0.13678037010739622,0.3927611204401165
last_token_activation,ekman_basic_emotions,21,0.4936484551085422,0.14040656892162837,0.4109406533548856
last_token_activation,ekman_basic_emotions,22,0.49268756720026696,0.13396437836409586,0.4142129721622286
last_token_activation,ekman_basic_emotions,23,0.5044090592349089,0.14624538362641495,0.4195159460804239
last_token_activation,ekman_basic_emotions,24,0.5272771591693057,0.14367791993911172,0.447961401629301
last_token_activation,ekman_basic_emotions,25,0.5162468883896615,0.13618227734103847,0.43998241883568523
last_token_activation,ekman_basic_emotions,26,0.5177185067508955,0.141714320007751,0.4380874521249616
last_token_activation,ekman_basic_emotions,27,0.5419440794011583,0.14454122442120212,0.46454939305646376
last_token_activation,ekman_basic_emotions,28,0.528685845914891,0.1441690505322816,0.44929059368764185
last_token_activation,ekman_basic_emotions,29,0.5412957460317934,0.14298345651036415,0.46476616180542396
last_token_activation,ekman_basic_emotions,30,0.5508706619403971,0.13499660954648254,0.48077736686774564
last_token_activation,ekman_basic_emotions,31,0.553198296319268,0.13942971251039096,0.48080742482510247
last_token_activation,ekman_basic_emotions,32,0.564041453375414,0.13821427852186943,0.4941218730372649
last_token_activation,ekman_basic_emotions,33,0.568039823720511,0.14334024906043302,0.4957622605640992
last_token_activation,ekman_basic_emotions,34,0.5668449223212533,0.14108130823163686,0.4956972274209608
last_token_activation,ekman_basic_emotions,35,0.5792560729633908,0.13673858873247988,0.5126112188672558
last_token_activation,ekman_basic_emotions,36,0.607826555512691,0.15028744502991362,0.5384633989536436
last_token_activation,ekman_basic_emotions,37,0.5887365143622103,0.14134911210325204,0.521035275878916
last_token_activation,ekman_basic_emotions,38,0.6061134847387154,0.138913285711968,0.5425704418317965
last_token_activation,ekman_basic_emotions,39,0.5881238239483845,0.1461255177431623,0.5176385000251982
last_token_activation,ekman_basic_emotions,40,0.5774443368018923,0.13639956185141155,0.5107046678855389
last_token_activation,ekman_basic_emotions,41,0.6009524150964307,0.1476783237744026,0.5318110567471394
last_token_activation,ekman_basic_emotions,42,0.6038232718610852,0.13911717368341117,0.5398017987720652
last_token_activation,ekman_basic_emotions,43,0.591430657903712,0.14260613975109562,0.523475311594045
last_token_activation,ekman_basic_emotions,44,0.5989621471774199,0.14627850761430003,0.5302474443956056
last_token_activation,ekman_basic_emotions,45,0.586528089242685,0.13924119590129147,0.5196425423841501
last_token_activation,ekman_basic_emotions,46,0.6131172492713607,0.13673389236910202,0.551838364429272
last_token_activation,ekman_basic_emotions,47,0.6055085774142253,0.1436424918960289,0.5393379297167565
last_token_activation,ekman_basic_emotions,48,0.5984769099810558,0.138220678096261,0.5340766715869351
last_token_activation,ekman_basic_emotions,49,0.6038035733629512,0.14114353131833873,0.5386930865815011
last_token_activation,ekman_basic_emotions,50,0.6139633136615974,0.1382235608225021,0.5520454391781165
last_token_activation,ekman_basic_emotions,51,0.6235868575471741,0.1404377792910259,0.562087381943849
last_token_activation,ekman_basic_emotions,52,0.5927781726725991,0.135828622445608,0.5287719104052716
last_token_activation,ekman_basic_emotions,53,0.5751137571670818,0.13950794339239295,0.506228744855607
last_token_activation,ekman_basic_emotions,54,0.5924565620343845,0.1354943639677844,0.5285820924938094
last_token_activation,ekman_basic_emotions,55,0.5818613586121011,0.15193351581245598,0.5069506351397912
last_token_activation,ekman_basic_emotions,56,0.589377042331105,0.13667686620637823,0.5243693333404236
last_token_activation,ekman_basic_emotions,57,0.5915955449970751,0.1527212445005016,0.5179810040649996
last_token_activation,ekman_basic_emotions,58,0.5966715534855929,0.1419938562472719,0.5299235915137644
last_token_activation,ekman_basic_emotions,59,0.5976132947300042,0.14578922920373874,0.5289374484298449
last_token_activation,ekman_basic_emotions,60,0.5829842034096225,0.14781904398659304,0.5106487728366734
last_token_activation,ekman_basic_emotions,61,0.5813544610598722,0.1366174424961341,0.5151100340149584
last_token_activation,ekman_basic_emotions,62,0.5743091504259594,0.14073927249914475,0.5045847715952817
last_token_activation,ekman_basic_emotions,63,0.5481898218685443,0.1411339691017305,0.47394568899305844
last_token_activation,go_emotions,0,0.12911476018765983,0.032875379211590595,0.09951083749435927
last_token_activation,go_emotions,1,0.12031329949890195,0.03181081539164499,0.09141032095195047
last_token_activation,go_emotions,2,0.13788798576325775,0.03476840512241077,0.10683402945789876
last_token_activation,go_emotions,3,0.1701883824802512,0.036360222493285195,0.13887778723002484
last_token_activation,go_emotions,4,0.162874312284977,0.035345240275991514,0.13220177553000625
last_token_activation,go_emotions,5,0.16487298424206656,0.03227086427341232,0.13702400297072204
