,0
0,0.14166666666666666
1,0.30833333333333335
2,0.325
3,0.45208333333333334
4,0.6083333333333333
5,0.7333333333333333
6,0.7791666666666667
7,0.8375
8,0.9
9,0.9083333333333333
10,0.9229166666666667
11,0.9416666666666667
12,0.9583333333333334
13,0.975
14,0.9666666666666667
15,0.96875
16,0.98125
17,0.9916666666666667
18,0.9916666666666667
19,0.9916666666666667
20,0.99375
21,0.9833333333333333
22,0.9916666666666667
23,0.9895833333333334
24,0.9895833333333334
25,0.9916666666666667
26,0.9833333333333333
27,0.9875
28,0.9833333333333333
29,0.9895833333333334
30,0.9833333333333333
31,0.9875
32,0.9854166666666667
33,0.9875
34,0.9895833333333334
35,0.9895833333333334
36,0.9875
37,0.9791666666666666
38,0.98125
39,0.9791666666666666
