taxonomy,layer,accuracy,macro_f1,mcc,imbalance_entropy,Anger_f1,Disgust_f1,Enjoyment_f1,Fear_f1,Neutral_f1,Sadness_f1,Surprise_f1,control_macro_f1,control_mcc,normalized_mcc,normalized_macro_f1,Admiration_f1,Amusement_f1,Annoyance_f1,Approval_f1,Caring_f1,Confusion_f1,Curiosity_f1,Desire_f1,Disappointment_f1,Disapproval_f1,Embarrassment_f1,Excitement_f1,Gratitude_f1,Grief_f1,Joy_f1,Love_f1,Nervousness_f1,Optimism_f1,Pride_f1,Realization_f1,Relief_f1,Remorse_f1,Anticipation_f1,Trust_f1
ekman_basic_emotions,0,0.5884289746001882,0.37410168915429454,0.4376639541137775,0.7242283659173058,0.1917808219178082,0.06451612903225806,0.7337733773377337,0.38703339882121807,0.6519114688128773,0.4547759932375317,0.1349206349206349,0.12313986342067106,0.002462815386010162,0.43627560500030294,0.2862050802225277,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,1,0.6084195672624647,0.38050439250271434,0.45637162552605354,0.7242283659173058,0.2,0.043478260869565216,0.7501340482573726,0.40526849037487334,0.6726726726726727,0.44518828451882847,0.14678899082568808,0.12732176973201634,-0.005650233350818424,0.45942599479882673,0.2901213918135098,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,2,0.6150047036688617,0.39388043505187803,0.46452598437607695,0.7242283659173058,0.2127659574468085,0.043478260869565216,0.7493969445188957,0.4246031746031746,0.6756352765321375,0.45016611295681064,0.2011173184357542,0.13305041045447405,0.0034520477364567976,0.4626710993608929,0.30085950526158833,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,3,0.6230009407337723,0.3865543527595145,0.4737519940121154,0.7242283659173058,0.2,0.0,0.7587310050653159,0.43352601156069365,0.6753376688344173,0.46755407653910147,0.17073170731707318,0.1297020191091237,-0.009065492148135667,0.4784798310091959,0.2951314828829835,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,4,0.638758231420508,0.4015700915678891,0.49290003438498536,0.7242283659173058,0.26143790849673204,0.0,0.7783328950828293,0.4504672897196262,0.6659888154550077,0.49525452976704054,0.15950920245398773,0.13370060623315053,-0.003420460122292643,0.49462863697914683,0.3092112118074866,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,5,0.654280338664158,0.4177399226918689,0.5143955768752346,0.7242283659173058,0.26,0.0,0.7878627968337731,0.48303393213572854,0.6778656126482213,0.5130361648444071,0.20238095238095238,0.1369650983210543,-0.0013996399237305001,0.5150742982474504,0.3253342637992925,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,6,0.674035747883349,0.4379031563735002,0.5421629461376686,0.7242283659173058,0.2733333333333333,0.0,0.7989459815546772,0.49071358748778104,0.700199203187251,0.5668358714043993,0.23529411764705882,0.13525815593315713,0.004831127932871662,0.5399403390589086,0.349983064329369,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,7,0.6738005644402634,0.43808133482968203,0.540850140808011,0.7242283659173058,0.2857142857142857,0.0,0.8017829050865234,0.503921568627451,0.6968325791855203,0.5457598656591099,0.23255813953488372,0.13662781364060636,0.006203649589898487,0.5379839551609185,0.3491582494222143,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,8,0.6846190028222013,0.4547207874798572,0.5560729445209076,0.7242283659173058,0.2929936305732484,0.0,0.8135947712418301,0.5298804780876494,0.6898288016112789,0.5726569217540842,0.2840909090909091,0.13024579401041492,-0.005461501233796507,0.558484283153207,0.3730651616685919,,,,,,,,,,,,,,,,,,,,,,,,
ekman_basic_emotions,9,0.7013170272812794,0.468735170351965,0.5784268470493726,0.7242283659173058,0.3277591973244147,0.0,0.823621227887617,0.5443668993020937,0.7137055837563452,0.5929054054054054,0.2787878787878788,0.13261431072556518,-0.002537578277714792,0.5794939141584511,0.38751026652003423,,,,,,,,,,,,,,,,,,,,,,,,
